IP          , ID                                , Location                                                                      , Description                                                                                                                                                                                      , In_AGU , In_AGU_v2, In_Spec, ref_matched              , In_ref , CSBC, CSBC_v2, CSBC_v3, Codex_agent, codex with chunk, structure_AGU, structure_AGU_pair, structure_vs_legacy, In_pair_v2    , In_AGU_v2_detail                                                                                                                                                                                                                          , In_Spec_detail                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , In_pair_v2_detail                                                                                                                                                                                                                                                                                                                                                                                , In_ref_raw
KMAC        , kmac_N-005                        , kmac_reduced.sv:123-139                                                       , u_msg_unpacker_share1 unconditionally instantiated; accesses msg_i[1] out of bounds when EnMasking=0 (NumShares=1). Latent config hazard                                                         ,        , weak     , weak   , weak@F-0062              , yes    ,     , no     , no     , miss       , miss            ,              ,                   ,                    , weak@62/159   , "A/G/U/finding inputs mention EnMasking=0, NumShares=1, msg_i[1], and kmac_reduced share handling, but this round does not directly identify unconditional u_msg_unpacker_share1 instantiation with an out-of-bounds msg_i[1] access."    , "weak: kmac/doc/theory_of_operation.md:217-219 says masking is disabled when EnMasking is not set and KEY_SHARE1 writes are ignored; kmac/doc/theory_of_operation.md:282-283 says the second result share is zero when EnMasking=0. These support one-share/unmasked operation, but do not specify kmac_reduced structure or require conditional instantiation of u_msg_unpacker_share1."                                                                                                                                                      , "F-0062 rank 62/159 is the closest pair because it states EnMasking=0 implies NumShares=1, but phase3 only verified the localparam binding and did not inspect the unconditional share1 unpacker. F-0046 mentions msg_i[1] handshake, but not the out-of-bounds configuration hazard."                                                                                                           , yes: theory_of_operation.md_021; theory_of_operation.md_031; kmac.hjson_037
KMAC        , kmac_F-0039                       , kmac.sv:906-933                                                               , Phase3 new discovery: g_msg_mask static_mask hardwired all-ones replaces entropy msg_mask; defeats SCA message-masking countermeasure                                                            ,        , strong   , strong , strong@F-0019            , no     ,     , yes    , yes    , exact      , yes             , strong       , strong            , no_change          , strong@19/159 , Same direct A/G/U as KMAC 017: g_msg_mask/static_mask/cfg_msg_mask and side-channel masking risk are explicitly present.                                                                                                                  , "strong: kmac/doc/theory_of_operation.md:212-214 requires internal entropy-generator masking when EnMasking/msg_mask are enabled, and kmac/data/kmac.hjson:559-565 describes msg_mask as applying PRNG to input messages. Because the bug is exactly all-ones static_mask replacing entropy/PRNG masking, this is strong."                                                                                                                                                                                                                     , F-0019 rank 19/159 is exact; F-0101/F-0080/F-0086 also confirm the same static_mask/msg_mask root.                                                                                                                                                                                                                                                                                               , yes: theory_of_operation.md_019; kmac.hjson_025
RV_DM       , 022                               , rv_dm.sv:160-173                                                              , prim_alert_sender instantiated without SkewCycles(AlertSkewCycles) parameter present in reference; reduces glitch/skew tolerance on RV_DM alert channel                                          ,        , weak     , weak   , weak@F-0040              , no     ,     , no     , no     , miss       ,                 ,              ,                   ,                    , weak@38/54    , "A/G/U has generic prim_alert_sender/open-output and alert-interface observations, but no RV_DM-specific SkewCycles or AlertSkewCycles claim."                                                                                            , "weak: rv_dm.hjson_001 defines the fatal_fault alert and its TL-UL integrity trigger, so the alert channel is spec-relevant. The official RV_DM docs/raw refs do not specify prim_alert_sender SkewCycles(AlertSkewCycles) or ping-skew tolerance for this instance."                                                                                                                                                                                                                                                                          , "F-0038 rank 38/54 is the closest alert-sender finding (unconnected alert_ack_o/alert_state_o), but it does not describe missing SkewCycles/AlertSkewCycles. Confirmed SBA alert findings are unrelated to this skew bug."                                                                                                                                                                       , yes: rv_dm.hjson_001
RV_DM       , 034                               , rv_dm_dmi_gate.sv:244-245                                                     , dmi_rsp_valid = dmi_rsp_valid_i & dmi_en drops reference tlul_resp_pending OR term; last pending DMI response suppressed when dmi_en falls during completion pulse                               ,        , no       , no     , no                       , no     ,     , no     , no     , miss       ,                 ,              ,                   ,                    , no            , No A/G/U or current phase3 input evidence found for dmi_rsp_valid dropping tlul_resp_pending or suppressing the last pending response when dmi_en falls.                                                                                  , "no: RV_DM raw refs describe DMI/JTAG features and lifecycle gating at a higher level, but none specifies tlul_resp_pending, dmi_rsp_valid pending-response behavior, or preserving a final DMI response when dmi_en falls."                                                                                                                                                                                                                                                                                                                   , No current phase3 finding matches dmi_rsp_valid = dmi_rsp_valid_i & dmi_en or the missing tlul_resp_pending OR term. F-0041 is about JTAG dmi_rsp_ready gating and is not the same RTL path.                                                                                                                                                                                                     , no
RV_DM       , 046                               , rv_dm_dmi_gate.sv:165-178                                                     , lc_hw_debug_clr SEC_CM removed from hw_debug_en_gating; strap latch only clears on byp/escalate; stale RV debug authorization persists after lc debug permission returns to Off                  ,        , weak     , strong , weak@F-0005@F-0021       , no     ,     , no     , no     , miss       ,                 ,              ,                   ,                    , weak@1/54     , "A/G/U includes lifecycle debug enable gating and lc_hw_debug_en_i/lc_check_byp_en_i/lc_escalate_en_i synchronization assumptions, but not the exact missing lc_hw_debug_clr stale-authorization claim."                                  , "strong: hw/ip/rv_dm/data/rv_dm.hjson:367-391 defines DM_EN.CTRL.LC_GATED: critical debug blocks, including DMI, reset request, SBA and debug request, are gated by lifecycle signals and debug is always disabled outside the permitted lifecycle states. hw/ip/rv_dm/data/rv_dm_sec_cm_testplan.hjson:37-50 requires a non-On lc_hw_debug_en to disable debug, memory and SBA access. A stale authorization after lifecycle debug permission goes Off directly contradicts this behavior."                                                   , "F-0001 rank 1/54 is related and confirmed a lifecycle/DMI request-valid gating issue, but its root is rv_dm_dmi_gate.sv:230-245/274-278 during escalation, not the stale lc_hw_debug_clr latch at rv_dm_dmi_gate.sv:165-178."                                                                                                                                                                   , yes: rv_dm.hjson_003; rv_dm.hjson_028; rv_dm.hjson_033; rv_dm_sec_cm_testplan.hjson_001
RV_DM       , 047                               , rv_dm.sv:286-351                                                              , NDM-reset debug latch removed; reset_req_en taken from live lc_hw_debug_en_gated; revoking live debug authorization after NDM reset starts removes only ack path                                 ,        , weak     , no     , weak@F-0003              , no     ,     , no     , no     , miss       ,                 ,              ,                   ,                    , weak@3/54     , "A/G/U contains reset_req_en, lc_hw_debug_en_gated, ndmreset_req_o and ndmreset_ack/lc_rst_pending uncertainties, but no exact live-debug revocation during NDM reset claim."                                                             , no: the official NDM-reset behavior does not require reset_req_en to remain latched after lifecycle debug is revoked. hw/ip/rv_dm/data/rv_dm_testplan.hjson:301-318 explicitly directs the test to set lc_hw_debug_en non-On during an active NDM reset and states that ndmreset_o then drops; pinmux_hw_debug_en remains On only to keep the JTAG side open. hw/ip/rv_dm/doc/theory_of_operation.md:36-40 and doc/interfaces.md:24 give the same TAP-side-only role. These specs therefore do not support the claimed reset_req_en/ack defect., "F-0003 rank 3/54 is the closest NDM-reset tracking finding, but it targets lc_rst_asserted/lc_rst_pending synchronization and does not state the reset_req_en live debug-revocation bug."                                                                                                                                                                                                       , yes: rv_dm.hjson_005; rv_dm.hjson_022; rv_dm.hjson_028; rv_dm_testplan.hjson_012
SOC_DBG_CTRL, 024                               , soc_dbg_ctrl.sv:66-79                                                         , Alert skew candidate: prim_alert_sender/prim_diff_decode ping-skew suppresses local sender handshake (shared-primitive skew-handling bug)                                                        ,        , weak     , weak   , weak@F-0019              , no     ,     , no     , no     , miss       ,                 ,              ,                   ,                    , weak@19/44    , "A/G/U only contains generic prim_alert_sender/alert_ack_o observations for soc_dbg_ctrl, not ping-skew suppression or SkewCycles/AlertSkewCycles behavior."                                                                              , "weak: hw/ip/soc_dbg_ctrl/doc/interfaces.md:27-32 and data/soc_dbg_ctrl.hjson:52-64 define the fatal/recoverable alerts and their countermeasures, establishing that the alert channel is security-relevant. No corresponding module spec describes prim_alert_sender/prim_diff_decode ping skew, SkewCycles, or local sender-handshake behavior, so it does not directly constrain the reported shared-primitive bug."                                                                                                                        , "F-0019 rank 19/44 is an adjacent confirmed alert_test/IsFatal bit-order bug in the alert sender loop, but it does not describe the shared prim_alert_sender ping-skew bug. F-0035 is only generic unconnected alert_ack/state."                                                                                                                                                                 , yes: soc_dbg_ctrl.hjson_001; soc_dbg_ctrl.hjson_002
SOC_DBG_CTRL, 045                               , soc_dbg_ctrl.sv:202-206                                                       , Legal shadowed CSR write publishes unlocked production debug policy; SocDbgStProd branch drives category/valid/relocked from CSRs without lc_rma_state_i/lc_cpu_en_i lifecycle gating            ,        , weak     , weak   , weak@F-0004@F-0022       , no     ,     , no     , yes    , miss       ,                 ,              ,                   ,                    , weak@4/44     , "A/G/U strongly touches SocDbgStProd and debug_policy fields, but generated hypotheses focus on glitches, illegal encodings, and relocked fail-open behavior rather than missing lc_rma_state_i/lc_cpu_en_i lifecycle gating."            , "weak: hw/ip/soc_dbg_ctrl/doc/interfaces.md:19-21 and data/soc_dbg_ctrl.hjson:86-115 define lifecycle debug/test qualifiers, while data/soc_dbg_ctrl.hjson:174-180 defines debug_policy_category as the SoC-wide debug/DFT authorization policy. However, the module spec contains no lc_rma_state_i/lc_cpu_en_i requirement and no SocDbgStProd rule requiring category/valid/relocked to be lifecycle-gated. The docs establish security relevance but not the exact missing-gate behavior."                                                 , "F-0004 rank 4/44 and related F-0013/F-0027/F-0033 confirm a different relocked invalid-code fail-open bug, but the confirmed root lands on the same precise SocDbgStProd policy-copy assignments at soc_dbg_ctrl.sv:203/205/206. Under the exact-code-location criterion this is a CSBC_v3 hit, while semantic pairing remains weak because lc_rma_state_i/lc_cpu_en_i gating is not described.", yes: soc_dbg_ctrl.hjson_007; soc_dbg_ctrl.hjson_008; soc_dbg_ctrl.hjson_009; soc_dbg_ctrl.hjson_012; soc_dbg_ctrl.hjson_013; soc_dbg_ctrl.hjson_014; soc_dbg_ctrl.hjson_015
TLUL        , 028                               , tlul_fifo_sync.sv:57-91                                                       , Merged TL-UL request-word fault corrupts live UART CTRL access while keeping request valid enough to be consumed by downstream CSR path                                                          ,        , strong   , weak   , no                       , no     ,     , no     , yes    , exact      , yes             , strong       , strong            , increased          , strong@27/38  , "A/G/U/finding input now directly covers tlul_bug_001 driver, corrupted_data/corrupted_data_intg, and request FIFO insertion in tlul_fifo_sync.sv."                                                                                       , "weak: hw/ip/tlul/README.md:455-456 and :475-490 describe tlul_fifo_sync as a host-to-device FIFO that maintains the TL-UL protocol and provides request elasticity. TlulProtocolChecker.md:108-124 additionally requires known a_data/a_valid/a_ready values. This is a relevant FIFO/request-path contract, but it does not explicitly prohibit a known-value internal corruption with recomputed integrity, so the injected request-word mutation is not a direct spec match."                                                              , F-0027 rank 27/38 directly asks for cross-chunk review of tlul_bug_001 driver and phase3 confirmed tlul_fifo_sync.sv:57-82 corrupts accepted request FIFO data. F-0018/F-0033/F-0034 are same exact corruption path but extra.                                                                                                                                                                   , yes: TlulProtocolChecker.md_012; TlulProtocolChecker.md_014; TlulProtocolChecker.md_015
TLUL        , 029                               , tlul_adapter_reg.sv:155-205                                                   , AccessLatency=1 adapter mutates buffered TL-UL read payload to all-ones after response phase while keeping d_error clear; downstream consumer accepts corrupted payload                          ,        , strong   , weak   , weak@F-0006              , no     ,     , yes    , yes    , exact      , yes             , strong       , strong            , no_change          , strong@11/38  , A/G/U directly sees tlul_adapter_reg AccessLatency/Verilator late-error path and rdata forced to all-ones via __tlul_bug_002_late_error.                                                                                                  , "weak: hw/ip/tlul/README.md:455-456 defines a protocol-maintaining host/device FIFO role, and TlulProtocolChecker.md:151-153, :190-201 requires a Get response to be AccessAckData with known d_data/d_error. Those constraints are relevant to a corrupted response path, but a known all-ones payload with d_error=0 can satisfy them; no module spec states that the special late-error condition must alter d_error or preserve the buffered payload."                                                                                     , "F-0011 rank 11/38 is the highest exact phase3 hit: the literal missing-rdata claim was wrong, but phase3 confirmed the same late_error path corrupts rdata without asserting d_error at tlul_adapter_reg.sv:174-212/240. F-0024 is also same code path but only describes Verilator-vs-non-Verilator divergence."                                                                               , yes: TlulProtocolChecker.md_016; TlulProtocolChecker.md_023; TlulProtocolChecker.md_024
